app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,target,income_to_age_ratio,employment_ratio,age_group,income_group
179.0,1.0,0.0,29-Apr-20,1.0,10,18.0,0.0,1,,,33.0,1.0,,27.0,0.0,10.0,,0.0,46.4296875,,0.0,0.0,2,-1.0,2,0.05263157894736842,0.0,18-25,very_low
-192.0,,,29-Apr-20,0.0,14,23.0,0.0,1,,,,,,0.0,,7.0,,0.0,68.234375,,0.0,,4,-1.0,1,0.0,0.0,18-25,very_low
188.0,1.0,0.0,29-Apr-20,0.0,14,18.0,,1,1.0,100.0,4.0,1.0,,,,,124.0,0.092462448,27.51953125,1.0,0.0,0.0,2,1.0,2,0.0,,18-25,very_low
-163.0,,,29-Apr-20,0.0,1,25.0,0.0,2,,,10.0,,,,7.0,,,0.638838325,31.83203125,,0.0,,4,-1.0,1,0.0,0.0,18-25,very_low
166.0,0.0,1.0,29-Apr-20,1.0,12,21.0,3.0,0,1.0,,3.0,1.0,161.0,9.0,,21.0,,0.245395851,59.578125,1.0,0.0,,4,2.0,0,0.045454545454545456,0.75,18-25,very_low
175.0,1.0,0.0,29-Apr-20,0.0,14,20.0,2.0,1,1.0,,5.0,1.0,1.0,0.0,0.0,9.0,,0.000528448,55.4453125,,0.0,0.0,2,-1.0,2,0.0,0.6666666666666666,18-25,very_low
174.0,1.0,0.0,29-Apr-20,0.0,14,17.0,0.0,1,,,,,,4.0,,2.0,,0.238042976,56.40625,,0.0,,4,-1.0,2,0.0,,18-25,very_low
-190.0,,,29-Apr-20,0.0,4,28.0,0.0,2,,500.0,26.0,4.0,75.0,,11.0,,496.0,0.043389877,50.015625,,0.0,0.0,2,-1.0,1,0.0,0.0,26-35,very_low
186.0,1.0,0.0,29-Apr-20,160.0,2,18.0,,1,,,,,,21.0,0.0,32.0,,0.0,76.9375,,0.0,,4,-1.0,2,8.421052631578947,,18-25,very_low
161.0,0.0,1.0,29-Apr-20,0.0,1,30.0,0.0,2,,,,,,,,,,0.0,,,0.0,,4,-1.0,0,0.0,0.0,26-35,very_low
176.0,1.0,0.0,29-Apr-20,100.0,13,26.0,0.0,3,,500.0,22.0,1.0,0.0,10.0,6.0,5.0,,0.089765755,50.25,,0.0,0.0,2,3.0,2,3.7037037037037037,0.0,26-35,very_low
167.0,1.0,0.0,29-Apr-20,0.0,11,22.0,5.0,1,1.0,700.0,1.0,1.0,1.0,23.0,,33.0,1.0,0.128964513,61.296875,2.0,1.0,275.0,2,1.0,2,0.0,1.0,18-25,very_low
-171.0,,,29-Apr-20,0.0,14,17.0,0.0,1,,,,,,24.0,0.0,46.0,,0.033422705,51.125,,0.0,,4,-1.0,1,0.0,,18-25,very_low
