app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,app_date
200,1,0,30-Apr-20,0,SA,23,4,P,.,950,32,4,0,13,6,12,61,0.105387383,47.828125,1,2,0,3,1,20/02/2035
211,1,0,30-Apr-20,260,SO,19,.,R,1,.,5,.,.,.,.,.,.,0.046002705,46.8984375,1,0,.,5,2,20/02/2035
197,1,0,30-Apr-20,0,SK,25,.,P,.,.,65,1,.,27,7,6,.,0.061730411,91.125,.,0,0,3,-1,20/02/2035
274,1,0,04-May-20,0,SB,30,.,R,.,.,11,1,.,.,.,.,.,0.134553402,74.3125,1,0,0,3,1,25/02/2035
-299,.,.,05-May-20,700,SB,23,.,R,.,.,9,1,.,.,.,.,.,0.226310199,58.9453125,.,0,0,3,-1,26/02/2035
-319,.,.,05-May-20,0,SO,17,0,,.,.,.,.,.,.,.,4,.,0.052284813,40.8515625,.,0,.,5,-1,26/02/2035
309,0,1,05-May-20,0,SO,30,0,R,.,.,.,.,.,.,.,.,.,0.339156392,38.8125,.,0,.,5,-1,26/02/2035
301,1,0,05-May-20,0,SH,19,1,P,.,500,9,3,30,23,2,10,.,0,57.390625,1,1,0,3,4,26/02/2035
-313,.,.,05-May-20,0,SO,21,.,P,.,500,27,1,.,7,4,33,155,0.033790593,53.8125,1,1,1220,3,-1,26/02/2035
-306,.,.,05-May-20,0,SG,24,0,P,.,.,13,3,689,19,6,23,.,0.1391639,61.0703125,3,0,0,3,1,26/02/2035
311,1,0,05-May-20,0,SF,17,0,P,.,.,.,.,.,6,0,12,.,0.037961512,64.875,.,0,.,5,-1,26/02/2035
-305,.,.,05-May-20,1200,SN,23,2,P,.,800,9,4,46,25,5,81,776,0.141035143,72.546875,1,2,1,3,3,26/02/2035
294,1,0,05-May-20,0,SO,19,1,P,.,250,12,1,1,22,1,10,.,0.027951845,84.625,1,1,2,3,-1,26/02/2035
298,0,1,05-May-20,500,SB,21,.,R,1,.,3,1,.,.,.,.,.,0.630513039,71.734375,.,0,0,3,-1,26/02/2035
-290,.,.,05-May-20,680,SD,27,0,H,1,.,2,2,0,.,7,.,.,0.425858148,49.2734375,1,1,15,3,4,26/02/2035
